6-15-2026 21:25:13-log: Cannot access game frame or container.
6-15-2026 21:25:14-debug: asset-db:require-engine-code (1282ms)
6-15-2026 21:25:14-log: meshopt wasm decoder initialized
6-15-2026 21:25:14-log: [bullet]:bullet wasm lib loaded.
6-15-2026 21:25:14-log: [box2d]:box2d wasm lib loaded.
6-15-2026 21:25:14-log: Cocos Creator v3.8.8
6-15-2026 21:25:14-log: Forward render pipeline initialized.
6-15-2026 21:25:14-log: Using legacy pipeline
6-15-2026 21:25:14-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:28.32MB, end 79.46MB, increase: 51.13MB
6-15-2026 21:25:16-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:79.50MB, end 246.49MB, increase: 167.00MB
6-15-2026 21:25:16-debug: asset-db:worker-init: initPlugin (2002ms)
6-15-2026 21:25:16-debug: [Assets Memory track]: asset-db:worker-init start:28.32MB, end 246.60MB, increase: 218.29MB
6-15-2026 21:25:16-debug: Run asset db hook programming:beforePreStart ...
6-15-2026 21:25:16-debug: Run asset db hook programming:beforePreStart success!
6-15-2026 21:25:16-debug: Run asset db hook engine-extends:beforePreStart ...
6-15-2026 21:25:16-debug: Run asset db hook engine-extends:beforePreStart success!
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.8\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
6-15-2026 21:25:21-debug: asset-db:worker-init (8035ms)
